job_number,account,reg,recurring_line_count,rental_total,subscription_total,recurring_total
SOL-389237,,CHS037 - KS15VNGP,0,0,0,0
SOL-390568,MACS-0024,CY313187 - T313,0,0,0,0
SOL-392090,EDGE-0019,CK46883,0,0,0,0
SOL-392650,,KL14KGGP,0,0,0,0
SOL-398788,MACS-0024,CY128560 - T310,0,0,0,0
SOL-408584,EDGE-0019,CK34389,0,0,0,0
SOL-415784,,HP97MHGP,0,0,0,0
SOL-417957,AVVA-0001,KR53NXGP,0,0,0,0
SOL-424827,ANGE-0001,LK19JHGP,0,0,0,0
SOL-426702,,CHX043 - KT69JSGP,0,0,0,0
SOL-431577,EDGE-0019,CK47049,0,0,0,0
SOL-431687,AVIS-0001,LH71ZNGP,0,0,0,0
SOL-433074,,LH37,0,0,0,0
SOL-437212,,CB62 - RENTAL,0,0,0,0
SOL-440825,ANGE-0001,LT00JNGP,0,0,0,0
SOL-446445,,CHX043 - KT69JSGP,0,0,0,0
SOL-447800,MACS-0023,VLK687GP,0,0,0,0
SOL-489044,ANGE-0001,YMM294GP,0,0,0,0
SOL-489882,TTLI-0001,PANIC INSTALLS,0,0,0,0
SOL-499193,EDGE-0019,CK55039,0,0,0,0
SOL-506862,EPSC-0002,DATA UPLOAD  - JF74XHGP,0,0,0,0
SOL-512085,MAYS-0001,MAY007,0,0,0,0
SOL-512213,,ZVN779GP,0,0,0,0
SOL-526549,EDGE-0019,CK47049,0,0,0,0
SOL-527276,ALST-0001,JY60PZGP,0,0,0,0
SOL-527893,TTLI-0001,JGK731FS - LH41,0,0,0,0
SOL-530578,EPSC-0002,DATA UPLOAD - JF74YXGP,0,0,0,0
SOL-559160,HITA-0001,MS80SKGP,0,0,0,0
SOL-563195,HITA-0001,National Transport Logistics	1000-0302,0,0,0,0
SOL-563366,SGMO-0008,KY94JSGP,0,0,0,0
SOL-572556,,CHX057 - HX44NNGP,0,0,0,0
SOL-575752,EPSC-0002,data upload - JF74YXGP,0,0,0,0
SOL-583341,EPSC-0001,DATA UPLOAD - JF74XGGP,0,0,0,0
SOL-583972,EPSC-0001,Data Upload - KY69YNGP,0,0,0,0
SOL-584374,TTEX-0001,PANIC INSTALLS,0,0,0,0
SOL-587296,,KB45JMGP,0,0,0,0
SOL-588580,AVVA-0001,KW56VJGP,0,0,0,0
SOL-602270,,LH20,0,0,0,0
SOL-617357,WACA-0001,KC31RGGP - CAN AND BUZZER INSTALL,0,0,0,0
SOL-632738,ALST-0001,JX75VDGP,0,0,0,0
SOL-635581,EPSC-0001,DATA UPLOAD - JF74XHGP,0,0,0,0
SOL-642708,EPSC-0001,DATA UPLOAD - MK88RHGP,0,0,0,0
SOL-650972,,CB47 - CASH,0,0,0,0
SOL-651530,EPSC-0002,DATA UPLOAD - JF74YXGP,0,0,0,0
SOL-651559,AVIS-0001,LP36PPGP,0,0,0,0
SOL-652782,,JW62RGGP AS48,0,0,0,0
SOL-655602,MAYS-0001,data upload - MAY003,0,0,0,0
SOL-668144,PRCR-0001,KVR594MP - CB08,0,0,0,0
SOL-679174,,JJ04NRGP,0,0,0,0
SOL-684822,EPSC-0002,DATA UPLOAD - JF74YJGP,0,0,0,0
SOL-689847,TLOG-0001,NA,0,0,0,0
SOL-694841,TLOG-0001,LDG351MP - FM13,0,0,0,0
SOL-702585,AVVA-0001,LC75YXGP,0,0,0,0
SOL-704027,ALST-0001,JZ88CYGP,0,0,0,0
SOL-709720,ANGE-0001,FN85FKGP,0,0,0,0
SOL-724271,,CHC048 - LJ64KPGP,0,0,0,0
