job_number,account,reg,status,job_status,completion_date,match_mode
SOL-611855,EDGE-0004,TEMP019013,completed,Invoiced,2026-05-06T08:41:16.812167+00:00,no-vehicle-match
SOL-995120,MAYS-0001,DATA UPLOAD - MAY002,completed,Invoiced,2026-03-31T23:59:59+00:00,no-vehicle-match
SOL-171883,ALST-0001,CH835579,completed,Invoiced,2026-05-12T05:18:19.833652+00:00,no-vehicle-match
JOB-1754928396962-95tzjqikr,,AB56CDGP,completed,Invoiced,2026-03-01T23:59:59+00:00,no-vehicle-match
SOL-304758,EPSC-0001,DATA UPLOAD - HW67VCGP,completed,Invoiced,2026-03-31T11:40:07.073842+00:00,no-vehicle-match
SOL-635581,EPSC-0001,DATA UPLOAD - JF74XHGP,completed,Invoiced,2026-03-31T23:59:59+00:00,no-vehicle-match
SOL-244000,MAYS-0001,DATA UPLOAD - MAY509,completed,Invoiced,2026-03-31T23:59:59+00:00,no-vehicle-match
SOL-655523,DCCT-0001,NEW DASH INSTAALL - LW02LZGP,completed,Invoiced,2026-05-08T09:15:33.953202+00:00,no-vehicle-match
SOL-489882,TTLI-0001,PANIC INSTALLS,completed,Invoiced,2026-05-06T09:20:14.731942+00:00,no-vehicle-match
SOL-825729,DCCT-0001,NEW DASHCAM INSTALL - MD36TGGP,completed,Invoiced,2026-05-08T09:15:09.305563+00:00,no-vehicle-match
SOL-617357,WACA-0001,KC31RGGP - CAN AND BUZZER INSTALL,completed,Invoiced,2026-05-08T09:22:41.972801+00:00,no-vehicle-match
SOL-111660,AUMA-0001,MW25XKGP,completed,Invoiced,2026-05-08T11:40:10.173845+00:00,no-vehicle-match
SOL-495571,TACI-0001,B413BOT,completed,Invoiced,2026-05-07T09:03:46.386409+00:00,no-vehicle-match
SOL-389706,ALST-0001,CH835580,completed,Invoiced,2026-05-12T05:16:50.280649+00:00,no-vehicle-match
SOL-583972,EPSC-0001,Data Upload - KY69YNGP,completed,Invoiced,2026-05-11T11:52:04.544926+00:00,no-vehicle-match
SOL-932955,THES-0002,JH57ZDGP ,completed,Invoiced,2026-05-07T13:28:38.821+00:00,no-vehicle-match
SOL-257467,HITA-0001,Nelspruit Service	2006-0222,completed,Invoiced,2026-04-20T05:06:12.147842+00:00,no-vehicle-match
SOL-730788,ALST-0001,JP33GVGP,completed,Invoiced,2026-04-20T08:26:28.953405+00:00,no-vehicle-match
SOL-797426,THES-0002,KCY462MP ,completed,Invoiced,2026-05-07T12:31:01.017+00:00,no-vehicle-match
SOL-882375,THES-0002,LMR027MP,completed,Invoiced,2026-05-07T12:32:27.91+00:00,no-vehicle-match
SOL-156995,THES-0002,KY79LGGP ,completed,Invoiced,2026-05-07T13:28:46.095+00:00,no-vehicle-match
SOL-861668,TACI-0001,B557BXN,completed,Invoiced,2026-05-07T13:48:49.160683+00:00,no-vehicle-match
SOL-989640,ANGE-0001,YMM294GP,completed,Invoiced,2026-04-21T09:51:56.28389+00:00,no-vehicle-match
SOL-597188,EDGE-0047,TEMPKA0006,completed,Invoiced,2026-05-08T09:08:42.845+00:00,no-vehicle-match
SOL-137849,EPSC-0002,DATA UPLOAD - MW90NSGP,completed,Invoiced,2026-05-08T09:16:44.843312+00:00,no-vehicle-match
SOL-925203,EPSC-0001,DATA UPLOAD - JF68FMGP,completed,Invoiced,2026-05-08T09:17:43.627211+00:00,no-vehicle-match
SOL-525299,EDGE-0004,LB83XNGP,completed,Invoiced,2026-05-06T08:26:57.790866+00:00,no-vehicle-match
SOL-409838,THES-0002,DN20DHGP,completed,Invoiced,2026-05-07T13:28:24.632+00:00,no-vehicle-match
SOL-302337,THES-0002,LS97SFGP,completed,Invoiced,2026-05-07T13:28:52.589+00:00,no-vehicle-match
SOL-645483,TACI-0001,MX85VFGP,completed,Invoiced,2026-05-05T13:27:04.535+00:00,no-vehicle-match
SOL-311550,MACS-0029,DRIVER TAG 7988,completed,Invoiced,2026-03-16T23:59:59+00:00,no-vehicle-match
SOL-156772,ALST-0001,KB27GLGP,completed,Invoiced,2026-04-20T09:56:38.407284+00:00,no-vehicle-match
