job_number,new_account_number,vehicle_registration,item_id,item_name,item_description,item_code,code,type,category,qty,quantity,rental_price,subscription_price,rental_gross,subscription_gross,invoice_number,customer_name
SOL-930914,ENER-0001,TEMP40883,85229bd4-0b57-404a-8601-62e995567f3c,SMS,SMS,,,MODULE,SMS,245,245,0,0.35,0,0.35,,
SOL-457225,EDGE-0001,TEMP80320,24cd3dfe-9e9a-4837-a136-b325feb401f5,Beame Backup Unit,Wireless recovery unit only,,,BACKUP,HARDWARE,1,1,23,89,23,89,,
